姓名,國文,英文,數學
游詩亞,50,82,79
錢欣潔,90,98,83
傅佳琳,76,89,65
李慈啟,56,100,50
孫宜珊,65,74,75
陳樂紫,98,66,50
林珍旺,63,79,50
盧必妍,97,86,61
潘俊賢,76,80,83
鄭琇亞,69,64,93
陳淑娟,81,98,89
李雅怡,63,70,97
陳向愛,85,93,52
鄭奇翰,57,63,85
黃靜怡,76,75,61
郭淑枝,90,69,90
陳姵彬,69,73,86
余宗儒,66,82,94
陳志偉,81,89,77
林俊翔,67,60,52
黃麗美,66,79,72
陳建豪,85,84,69
林益妏,85,60,73
王志謙,77,71,92
蕭淑華,56,73,61
許芳如,53,70,86
郭坤花,81,92,93
盧冠發,94,56,68
陳孝邦,91,56,65
劉旭士,51,52,92
謝哲維,93,77,95
劉林中,50,59,88
蔡士賢,81,74,68
陳家維,73,52,57
游淑惠,91,70,60
杜明延,91,66,81
鄭佳玲,66,99,70
蔡明平,89,83,54
蔡至剛,58,57,61
吳昕婷,59,88,86
葉祖雄,51,61,58
洪阿惠,73,89,73
吳俐芷,82,54,78
陳文賢,70,79,85
楊韻如,71,61,99
林義皓,51,60,96
趙家豪,75,87,87
楊易政,86,59,66
王梅劭,91,76,60
元延辛,98,66,61
蔡世馨,87,67,75
景歡燦,84,99,56
方筠紹,86,73,63
崔孝憲,66,77,75
郭舜昇,69,78,83
高信宏,92,85,73
張婕妤,85,53,100
余丞苓,92,94,78
王展人,78,91,79
賴昌韻,67,64,85
林佳人,52,77,54
王坤安,94,91,95
黃柏宇,53,54,65
童建霖,90,81,52
高智超,100,56,78
陳得映,50,92,79
姜琬婷,74,57,53
謝南慧,53,77,98
吳志宣,91,51,93
胡芳瑜,54,99,51
郭致恬,63,88,56
劉慧君,90,83,88
吳淑惠,66,71,94
郎慧萍,60,66,57
詹忠光,95,77,66
藍姿婷,55,95,56
翁均安,65,72,96
林淑安,82,99,81
昌嘉洋,57,70,91
金宜芳,94,62,56
楊韋廷,54,64,53
賴又琦,90,60,97
陳俊憲,70,85,79
陳建香,73,55,86
邱亭君,53,60,89
王怡珊,74,100,86
朱彥志,89,62,83
林瑞喬,54,98,97
張雅芬,82,91,80
余月修,77,53,81
李美洋,58,83,62
陳筱涵,89,76,66
黎惠雯,82,75,95
謝佳穎,71,82,64
王士銘,52,71,90
游一鈺,67,92,64
黃奎紹,96,70,50
林志成,58,90,60
林昱芳,55,94,73
鍾俞禎,70,50,78
